university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
University of Applied Sciences Upper Austria,Managing Nonprofit and Public Services (MA),3.7,4 semesters,Winter semester,Master of Arts,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/sozialmanagement/fh-oberoesterreich-27936
University of Applied Sciences Upper Austria,Marketing and Electronic Business (B.Sc.),4.0,,Winter semester,Bachelor of Science,German,,Steyr,https://www.studycheck.de/studium/marketing/fh-oberoesterreich-27840
University of Applied Sciences Upper Austria,Mechatronics / Economics (B.Sc.),4.5,6 semesters,Winter semester,Bachelor of Science,German,,catfish,https://www.studycheck.de/studium/mechatronik/fh-oberoesterreich-27841
University of Applied Sciences Upper Austria,Mechatronics / Economics (Diploma),4.4,4 semesters,Winter semester,diploma,German,,catfish,https://www.studycheck.de/studium/mechatronik/fh-oberoesterreich-27921
University of Applied Sciences Upper Austria,Medical Engineering (Diploma),3.4,4 semesters,Winter semester,diploma,German,,Linz,https://www.studycheck.de/studium/medical-engineering/fh-oberoesterreich-27922
University of Applied Sciences Upper Austria,Media Technology and Design (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/medientechnik/fh-oberoesterreich-27842
University of Applied Sciences Upper Austria,Medical and Bioinformatics (B.Sc.),4.2,6 semesters,Winter semester,Bachelor of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/medizininformatik/fh-oberoesterreich-27843
University of Applied Sciences Upper Austria,Medical Engineering (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Linz,https://www.studycheck.de/studium/medizintechnik/fh-oberoesterreich-27844
University of Applied Sciences Upper Austria,Mobile Computing (B.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/mobile-computing/fh-oberoesterreich-27845
University of Applied Sciences Upper Austria,Mobile Computing (M.Sc.),4.4,4 semesters,Winter semester,Master of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/mobile-computing/fh-oberoesterreich-27923
University of Applied Sciences Upper Austria,Operations Management (M.Sc.),4.4,,Winter semester,Master of Science,German,,Steyr,https://www.studycheck.de/studium/produktionsmanagement/fh-oberoesterreich-27924
University of Applied Sciences Upper Austria,Produktdesign und Technische Kommunikation (B.Sc.),3.9,,,,,,,https://www.studycheck.de/studium/produktdesign/fh-oberoesterreich-27846
University of Applied Sciences Upper Austria,Process Management and Business Intelligence (BA),4.3,,Winter semester,Bachelor of Arts,German,,Steyr,https://www.studycheck.de/studium/organisation-prozessmanagement/fh-oberoesterreich-27847
University of Applied Sciences Upper Austria,Robotic Systems Engineering (Diploma),,4 semesters,Winter semester,diploma,German,,"Hagenberg im Mühlkreis, Wels",https://www.studycheck.de/studium/robotics-cognition-intelligence/fh-oberoesterreich-27926
University of Applied Sciences Upper Austria,Secure Information Systems (B.Sc.),4.4,6 semesters,Winter semester,Bachelor of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/informationssysteme/fh-oberoesterreich-27885
University of Applied Sciences Upper Austria,Secure Information Systems (M.Sc.),4.1,4 semesters,Winter semester,Master of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/informationssysteme/fh-oberoesterreich-27927
University of Applied Sciences Upper Austria,Smart Production and Management (B.Sc.),4.4,,Winter semester,Bachelor of Science,German,,Steyr,https://www.studycheck.de/studium/produktionsmanagement/fh-oberoesterreich-27886
University of Applied Sciences Upper Austria,Software Engineering (B.Sc.),4.4,,Winter semester,Bachelor of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/software-engineering/fh-oberoesterreich-27887
University of Applied Sciences Upper Austria,Software Engineering (M.Sc.),4.8,4 semesters,Winter semester,Master of Science,German,,Hagenberg in Mühlkreis,https://www.studycheck.de/studium/software-engineering/fh-oberoesterreich-27929
University of Applied Sciences Upper Austria,"Social, Public and Nonprofit Management (BA)",4.3,6 semesters,Winter semester,Bachelor of Arts,English,,Linz,https://www.studycheck.de/studium/wirtschaftswissenschaft/fh-oberoesterreich-31298
University of Applied Sciences Upper Austria,Social Work (BA),4.2,,Winter semester,Bachelor of Arts,German English,,Linz,https://www.studycheck.de/studium/soziale-arbeit/fh-oberoesterreich-27888
University of Applied Sciences Upper Austria,Social Work (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Linz,https://www.studycheck.de/studium/soziale-arbeit/fh-oberoesterreich-27930
University of Applied Sciences Upper Austria,Supply Chain Management (MA),4.4,,Winter semester,Master of Arts,German,,Steyr,https://www.studycheck.de/studium/supply-chain-management/fh-oberoesterreich-27931
University of Applied Sciences Upper Austria,Sustainable Energy Systems (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,catfish,https://www.studycheck.de/studium/nachhaltigkeitswissenschaft-sustainability-science/fh-oberoesterreich-27932
University of Applied Sciences Upper Austria,Sustainable Solutions (B.Sc.),5.0,,,,,,,https://www.studycheck.de/studium/nachhaltigkeitswissenschaft-sustainability-science/fh-oberoesterreich-31232
University of Applied Sciences Upper Austria,Process Engineering Production (B.Sc.),4.2,6 semesters,Winter semester,Bachelor of Science,German,,catfish,https://www.studycheck.de/studium/verfahrenstechnik/fh-oberoesterreich-27890
University of Applied Sciences Upper Austria,Materials Science and Manufacturing Engineering (B.Sc.),4.2,6 semesters,Winter semester,Bachelor of Science,German,,catfish,https://www.studycheck.de/studium/werkstoffwissenschaft/fh-oberoesterreich-27891
University of Applied Sciences Upper Austria,Materials Science and Manufacturing Engineering (Diploma),4.2,4 semesters,Winter semester,diploma,German,,catfish,https://www.studycheck.de/studium/werkstoffwissenschaft/fh-oberoesterreich-27933
FAU Erlangen-Nuremberg,Advanced Materials and Processes (M.Sc.),4.3,4 semesters,Winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/materialwissenschaft/uni-erlangen-7721
FAU Erlangen-Nuremberg,Advanced Optical Technologies (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/optische-technologien/uni-erlangen-625
FAU Erlangen-Nuremberg,Advanced Signal Processing and Communication Engineering (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/nachrichtentechnik/uni-erlangen-23347
FAU Erlangen-Nuremberg,Ancient Languages ​​and Cultures (MA),,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/antike-kulturen/uni-erlangen-9227
FAU Erlangen-Nuremberg,"Arabic, Islamic Studies, Semitic Studies (MA)",,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/islamwissenschaften/uni-erlangen-19708
FAU Erlangen-Nuremberg,Work and Human Resources (Economics) (BA),3.0,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30452
FAU Erlangen-Nuremberg,Labor Market and Human Resources (M.Sc.),,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/arbeitsmarkt-und-personal/uni-erlangen-8157
FAU Erlangen-Nuremberg,Archaeological Sciences (BA),3.9,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/archaeologische-wissenschaften/uni-erlangen-3827
FAU Erlangen-Nuremberg,Archaeological Sciences (MA),3.9,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/archaeologische-wissenschaften/uni-erlangen-1402
FAU Erlangen-Nuremberg,Artificial Intelligence (B.Sc.),,6 semesters,Winter semester,Bachelor of Science,English,,Erlangen,https://www.studycheck.de/studium/kuenstliche-intelligenz/uni-erlangen-32979
FAU Erlangen-Nuremberg,Artificial Intelligence (M.Sc.),4.5,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/intelligente-systeme/uni-erlangen-26951
FAU Erlangen-Nuremberg,Autonomy Technologies (B.Sc.),4.1,,Winter semester,,,,Erlangen,https://www.studycheck.de/studium/autonome-systeme/uni-erlangen-30971
FAU Erlangen-Nuremberg,Autonomy Technologies (M.Sc.),,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/autonome-systeme/uni-erlangen-30972
FAU Erlangen-Nuremberg,Vocational Education Technology (B.Sc.),3.3,6 semesters,Winter semester,Bachelor of Science,German,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/berufspaedagogik/uni-erlangen-4181
FAU Erlangen-Nuremberg,"Vocational Education Technology (M.Sc.)
                                                            Teaching",3.6,4 semesters,Summer & winter semester,Master of Science,German,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/berufspaedagogik/uni-erlangen-9314
FAU Erlangen-Nuremberg,Biology (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/biologie/uni-erlangen-15551
FAU Erlangen-Nuremberg,"Biology (State Examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/biologie/uni-erlangen-23348
FAU Erlangen-Nuremberg,Book Science (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/buchwissenschaft/uni-erlangen-3828
FAU Erlangen-Nuremberg,Business Administration (MBA),4.4,3 semesters,Winter semester,Master of Business Administration,German English,"25,000 €¹",Nuremberg,https://www.studycheck.de/studium/business-management/uni-erlangen-11474
FAU Erlangen-Nuremberg,Chemical Engineering – Sustainable Chemical Technologies (M.Sc.),4.0,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/chemieingenieurwesen/uni-erlangen-10983
FAU Erlangen-Nuremberg,Chemical Engineering (Sustainable Chemical Technologies) (B.Sc.),4.0,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/chemieingenieurwesen/uni-erlangen-1544
FAU Erlangen-Nuremberg,Chemie (B.Sc.),3.5,,,,,,,https://www.studycheck.de/studium/chemie/uni-erlangen-12013
FAU Erlangen-Nuremberg,"Chemistry (State Examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/chemie/uni-erlangen-23349
FAU Erlangen-Nuremberg,Chemical and Bioengineering (B.Sc.),3.6,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/bio-und-chemieingenieurwissenschaften/uni-erlangen-2449
FAU Erlangen-Nuremberg,Chemical and Bioengineering (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/chemie-und-bioingenieurwesen/uni-erlangen-251
FAU Erlangen-Nuremberg,Chemistry (M.Sc.),4.0,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/chemie/uni-erlangen-9310
FAU Erlangen-Nuremberg,Chinese Studies with an Optional Focus (MA),,4 semesters,Summer & winter semester,Master of Arts,English,,Erlangen,https://www.studycheck.de/studium/chinese-studies/uni-erlangen-32981
FAU Erlangen-Nuremberg,"Chinese (State Examination)
                                                            Teaching",,9 semesters,Summer & winter semester,State examination,"German, Chinese",,Erlangen,https://www.studycheck.de/studium/chinesisch/uni-erlangen-23350
FAU Erlangen-Nuremberg,Clean Energy Processes (B.Sc.),,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/erneuerbare-energien/uni-erlangen-26303
FAU Erlangen-Nuremberg,Clean Energy Processes (M.Sc.),4.5,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/nachhaltige-energieversorgung/uni-erlangen-26952
FAU Erlangen-Nuremberg,Communications and Multimedia Engineering (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/communication-and-media-engineering/uni-erlangen-10722
FAU Erlangen-Nuremberg,Computational and Applied Mathematics (M.Sc.),4.3,4 semesters,Summer & winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/technomathematik/uni-erlangen-9313
FAU Erlangen-Nuremberg,Computational Engineering (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/computational-engineering/uni-erlangen-12355
FAU Erlangen-Nuremberg,Computational Engineering (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/computational-engineering/uni-erlangen-7718
FAU Erlangen-Nuremberg,Computational Linguistics (BA),4.4,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/computerlinguistik/uni-erlangen-3854
FAU Erlangen-Nuremberg,"Drama (State Examination)
                                                            Teaching",4.6,4 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/darstellendes-spiel/uni-erlangen-23352
FAU Erlangen-Nuremberg,Data Science (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/datenwissenschaft/uni-erlangen-26386
FAU Erlangen-Nuremberg,Data Science (M.Sc.),4.4,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/datenwissenschaft/uni-erlangen-26949
FAU Erlangen-Nuremberg,Data Science and Business Intelligence (Economics) (BA),,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30453
FAU Erlangen-Nuremberg,"German (State Examination)
                                                            Teaching",3.8,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/deutsch/uni-erlangen-21058
FAU Erlangen-Nuremberg,"German as a second language (state examination)
                                                            Teaching",4.3,5 semesters,Summer & winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/deutsch-als-fremdsprache/uni-erlangen-23354
FAU Erlangen-Nuremberg,German-French Law (State Examination),4.0,10 semesters,Winter semester,State examination,"German, French",,Erlangen,https://www.studycheck.de/studium/recht/uni-erlangen-23353
FAU Erlangen-Nuremberg,Development Economics & International Studies (MA),3.9,4 semesters,Winter semester,Master of Arts,English,,Erlangen,https://www.studycheck.de/studium/development-economics/uni-erlangen-9797
FAU Erlangen-Nuremberg,Digital Business & AI (MBA) (MBA),,3 semesters,Winter semester,Master of Business Administration,German,"29,750 €¹",Nuremberg,https://www.studycheck.de/studium/business-administration/uni-erlangen-26953
FAU Erlangen-Nuremberg,Digital Humanities (MA),1.0,,Summer semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/digital-humanities/uni-erlangen-25631
FAU Erlangen-Nuremberg,Digital Humanities and Social Sciences (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/digital-humanities/uni-erlangen-23562
FAU Erlangen-Nuremberg,Digital Japanese Studies (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, Japanese",,Erlangen,https://www.studycheck.de/studium/japan/uni-erlangen-30526
FAU Erlangen-Nuremberg,"Digitalization, Innovation and Entrepreneurship (Economics) (BA)",,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30454
FAU Erlangen-Nuremberg,Economics (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,English,,Nuremberg,https://www.studycheck.de/studium/economics/uni-erlangen-8301
FAU Erlangen-Nuremberg,Electromobility - ACES (B.Sc.),2.8,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/elektromobilitaet/uni-erlangen-30528
FAU Erlangen-Nuremberg,Elektromobilität - ACES (M.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/elektromobilitaet/uni-erlangen-30529
FAU Erlangen-Nuremberg,Electrical Engineering - Electronics - Information Technology (B.Sc.),4.1,,Winter semester,,,,Erlangen,https://www.studycheck.de/studium/elektro-und-informationstechnik/uni-erlangen-14832
FAU Erlangen-Nuremberg,Electrical Engineering - Electronics - Information Technology (M.Sc.),4.3,4 Semester,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/elektro-und-informationstechnik/uni-erlangen-9315
FAU Erlangen-Nuremberg,Energy Engineering (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/energietechnik/uni-erlangen-15264
FAU Erlangen-Nuremberg,Energy Engineering (M.Sc.),4.2,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/energietechnik/uni-erlangen-1071
FAU Erlangen-Nuremberg,"English (State Examination)
                                                            Teaching",3.6,9 semesters,Winter semester,State examination,German English,,Erlangen,https://www.studycheck.de/studium/englisch/uni-erlangen-23396
FAU Erlangen-Nuremberg,English and American Studies (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German English,,Erlangen,https://www.studycheck.de/studium/anglistik-und-amerikanistik/uni-erlangen-14504
FAU Erlangen-Nuremberg,English Studies (MA),4.4,4 semesters,Winter semester,Master of Arts,German English,,Erlangen,https://www.studycheck.de/studium/english-studies/uni-erlangen-9233
FAU Erlangen-Nuremberg,Educational Science-Empirical Educational Research (MA),4.0,4 semesters,Summer & winter semester,Master of Arts,German,,Nuremberg,https://www.studycheck.de/studium/erziehungswissenschaft/uni-erlangen-734
FAU Erlangen-Nuremberg,Ethics of Text Cultures (MA),4.5,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/ethik-der-textkulturen/uni-erlangen-5977
FAU Erlangen-Nuremberg,European Master's Degree in Lexicography (EMLex) (MA),4.4,4 semesters,Winter semester,Master of Arts,German English,,Erlangen,https://www.studycheck.de/studium/lexikographie/uni-erlangen-9238
FAU Erlangen-Nuremberg,"Protestant Religious Education (State Examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/evangelische-theologie/uni-erlangen-23397
FAU Erlangen-Nuremberg,Protestant Theology (Church Degree),3.9,10 semesters,Summer & winter semester,Church graduation,German,,Erlangen,https://www.studycheck.de/studium/evangelische-theologie/uni-erlangen-534
FAU Erlangen-Nuremberg,"Finance, Auditing, Controlling, Taxation (FACT) (M.Sc.)",3.4,4 semesters,Summer & winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/finance-and-accounting/uni-erlangen-8303
FAU Erlangen-Nuremberg,"Finance, Auditing, Controlling, Taxation and Supplements (Economics, FACT-S) (BA)",3.2,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30495
FAU Erlangen-Nuremberg,Franco-Romance Studies (BA),,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/frankoromanistik/uni-erlangen-12169
FAU Erlangen-Nuremberg,"French (State Examination)
                                                            Teaching",3.6,9 semesters,Winter semester,State examination,"German, French",,Erlangen,https://www.studycheck.de/studium/franzoesisch/uni-erlangen-23398
FAU Erlangen-Nuremberg,"Geography (State Examination)
                                                            Teaching",3.9,9 Semester,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/geographie/uni-erlangen-21055
FAU Erlangen-Nuremberg,Geography: Cultural Geography (BA),3.8,,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/kulturgeographie/uni-erlangen-15658
FAU Erlangen-Nuremberg,Geography: Cultural Geography (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/kulturgeographie/uni-erlangen-7719
FAU Erlangen-Nuremberg,Geography: Physical Geography (B.Sc.),4.2,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/physische-geographie/uni-erlangen-14829
FAU Erlangen-Nuremberg,Geosciences (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/geowissenschaften/uni-erlangen-14826
FAU Erlangen-Nuremberg,Geosciences (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/geowissenschaften/uni-erlangen-9311
FAU Erlangen-Nuremberg,German Studies (BA),3.3,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/germanistik/uni-erlangen-14520
FAU Erlangen-Nuremberg,German Studies (MA),3.7,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/germanistik/uni-erlangen-9234
FAU Erlangen-Nuremberg,Gerontology (M.Sc.),4.5,4 semesters,Summer & winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/gerontologie/uni-erlangen-11770
FAU Erlangen-Nuremberg,History (BA),3.3,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/geschichte/uni-erlangen-14521
FAU Erlangen-Nuremberg,History (MA),4.6,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/geschichte/uni-erlangen-9235
FAU Erlangen-Nuremberg,"History (State Examination)
                                                            Teaching",3.9,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/geschichte/uni-erlangen-23401
FAU Erlangen-Nuremberg,Health (Economics) (BA),,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30496
FAU Erlangen-Nuremberg,Health Management and Health Economics (M.Sc.),4.0,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/gesundheitsmanagement/uni-erlangen-19380
FAU Erlangen-Nuremberg,"Greek (State Examination)
                                                            Teaching",,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/griechisch/uni-erlangen-23402
FAU Erlangen-Nuremberg,Greek Philology (BA),,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/griechische-philologie/uni-erlangen-3857
FAU Erlangen-Nuremberg,Midwifery Science (B.Sc.),4.0,7 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/hebammenwesen/uni-erlangen-30564
FAU Erlangen-Nuremberg,Human Rights (M.A.),,,,,,,,https://www.studycheck.de/studium/human-rights-and-genocide-studies/uni-erlangen-19747
FAU Erlangen-Nuremberg,Ibero-Romance Studies (BA),3.0,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/iberoromanistik/uni-erlangen-14522
FAU Erlangen-Nuremberg,Empires and Transcontinental Spaces (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/neuere-geschichte/uni-erlangen-23403
FAU Erlangen-Nuremberg,Indo-European and Indo-Iranian Studies (BA),,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/indogermanistik/uni-erlangen-14523
FAU Erlangen-Nuremberg,Computer Science (B.Sc.),3.6,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/informatik/uni-erlangen-14833
FAU Erlangen-Nuremberg,Computer Science (M.Sc.),4.1,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/informatik/uni-erlangen-9318
FAU Erlangen-Nuremberg,"Computer Science (State Examination)
                                                            Teaching",3.8,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/informatik/uni-erlangen-15175
FAU Erlangen-Nuremberg,Computer Science / IT Security (B.Sc.),4.5,,Winter semester,,,,Erlangen,https://www.studycheck.de/studium/informatik/uni-erlangen-19749
FAU Erlangen-Nuremberg,Information and Communication Technology (M.Sc.),4.4,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/kommunikations-und-informationstechnik/uni-erlangen-26950
FAU Erlangen-Nuremberg,Information and Communication Technology (B.Sc.),4.4,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/informations-und-kommunikationstechnik/uni-erlangen-14834
FAU Erlangen-Nuremberg,Integrated Immunology (M.Sc.),4.2,4 semesters,Winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/medizinische-biologie/uni-erlangen-23415
FAU Erlangen-Nuremberg,"Integrated Life Sciences: Biology, Biomathematics, Biophysics (B.Sc.)",3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/lebenswissenschaft/uni-erlangen-15411
FAU Erlangen-Nuremberg,"Integrated Life Sciences: Biology, Biomathematics and Biophysics (M.Sc.)",,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/lebenswissenschaft/uni-erlangen-19750
FAU Erlangen-Nuremberg,International Business Studies (B.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/international-business-studies/uni-erlangen-25999
FAU Erlangen-Nuremberg,International Business Studies (MIBS) (M.Sc.),4.1,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/international-business-studies/uni-erlangen-10893
FAU Erlangen-Nuremberg,International Economic Studies (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/international-business-and-economics/uni-erlangen-26000
FAU Erlangen-Nuremberg,International Information Systems (IIS) (M.Sc.),3.5,4 semesters,Winter semester,Master of Science,German English,,Nuremberg,https://www.studycheck.de/studium/international-information-systems/uni-erlangen-7563
FAU Erlangen-Nuremberg,International Production Engineering and Management (B.Sc.),3.4,6 semesters,Summer & winter semester,Bachelor of Science,German English,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/international-production-management/uni-erlangen-5132
FAU Erlangen-Nuremberg,Islamic Religious Studies (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/islamwissenschaften/uni-erlangen-491
FAU Erlangen-Nuremberg,Islamic Religious Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/islamwissenschaften/uni-erlangen-19752
FAU Erlangen-Nuremberg,"Islamic teaching (teaching qualification extension) (state examination)
                                                            Teaching",,3 semesters,Summer & winter semester,State examination,German,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/islamische-religionslehre/uni-erlangen-26955
FAU Erlangen-Nuremberg,"Italian (State Examination)
                                                            Teaching",,9 semesters,Winter semester,State examination,"German, Italian",,Erlangen,https://www.studycheck.de/studium/italienisch/uni-erlangen-23416
FAU Erlangen-Nuremberg,Italian-Romance Studies (BA),,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/italianistik/uni-erlangen-14524
FAU Erlangen-Nuremberg,Japanese Studies (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/japanologie/uni-erlangen-3849
FAU Erlangen-Nuremberg,"Catholic Religious Education (State Examination)
                                                            Teaching",,7 semesters,Summer & winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/katholische-religion/uni-erlangen-31865
FAU Erlangen-Nuremberg,AI Materials Technology (B.Sc.),,,,,,,,https://www.studycheck.de/studium/materialwissenschaft/uni-erlangen-32264
FAU Erlangen-Nuremberg,Cultural History of Christianity (BA),,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/kulturgeschichte/uni-erlangen-3850
FAU Erlangen-Nuremberg,"Art (State Examination)
                                                            Teaching",3.5,,Winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/kunst/uni-erlangen-23417
FAU Erlangen-Nuremberg,Art History (BA),3.7,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/kunstgeschichte/uni-erlangen-3851
FAU Erlangen-Nuremberg,Art History (MA),4.8,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/kunstgeschichte/uni-erlangen-9237
